country,regime,seed,mean_gini,mean_unemployment,mean_protest_share,mean_redistribution,std_redistribution
Russia,representative,1000,0.7924524627831602,0.0622,0.027425000000000005,33.04364690021909,13.723118220703531
Russia,representative,1001,0.722305911489132,0.032343750000000004,0.012237499999999998,14.699244236243741,10.051902840567912
Russia,representative,1002,0.8604958683872164,0.022212500000000003,0.0092875,61.09883751972795,28.972899900783442
Russia,representative,1003,0.8189792581423299,0.030275,0.01339375,47.32918348495578,14.633388653629192
Russia,representative,1004,0.7877482924838464,0.01955,0.00625,25.66244922492363,14.14227549866842
Russia,representative,1005,0.7602212475380936,0.0340125,0.01108125,21.154337614223,18.120785704740953
Russia,representative,1006,0.7351742600641892,0.016200000000000003,0.004337499999999999,36.851896244203616,12.171739984171085
Russia,representative,1007,0.7110741219242271,0.030887500000000002,0.008831250000000002,24.261485372374583,12.311414316820603
Russia,representative,1008,0.8166981771742812,0.0338125,0.014825,39.193742052287824,16.871331608608163
Russia,representative,1009,0.7460610307603487,0.02595625,0.012418750000000003,51.81753393920244,17.224912860457124
Russia,representative,1010,0.7180132370843536,0.0404875,0.01475625,32.85070756462784,8.148528658537181
Russia,representative,1011,0.8398916226817081,0.00620625,0.0031125000000000002,67.70128744087701,24.605980093317186
Russia,representative,1012,0.7615854676229606,0.05006875,0.016368749999999998,8.413531145543757,6.018201044005774
Russia,representative,1013,0.8281935677900836,0.040275,0.015068750000000002,52.37776449563864,20.154347123329696
Russia,representative,1014,0.6627285550673473,0.017,0.0057125000000000006,13.55610146014096,8.415769202416914
Russia,representative,1015,0.7420037755867211,0.02538125,0.011631250000000003,40.039679990638234,12.954081064750268
Russia,representative,1016,0.8132614605967765,0.032481249999999996,0.012350000000000002,58.92846957993943,30.93707878427732
Russia,representative,1017,0.7836259624743296,0.03971875,0.013218750000000001,14.714671266165615,6.898773642872152
Russia,representative,1018,0.7749367595255541,0.0214375,0.00629375,25.640630945081092,20.486795757919094
Russia,representative,1019,0.7021245873297834,0.0208875,0.006443749999999999,25.290541238517903,5.44118266540081
Russia,representative,1020,0.7849775516247591,0.01814375,0.005806250000000001,53.04724185540714,15.313707727108113
Russia,representative,1021,0.8316619482506417,0.023762500000000002,0.0073875,42.83332197490086,14.24221119614198
Russia,representative,1022,0.805595260547056,0.01675625,0.005631250000000001,50.592322035391405,21.941947039329843
Russia,representative,1023,0.7731713920813175,0.03563125,0.014875000000000003,19.89104805769666,7.598416845300633
Russia,representative,1024,0.7829238346688718,0.0166875,0.005931250000000002,57.696611948047,31.243828689343896
Russia,captured,11000,0.7064822573328695,0.028687500000000005,0.0034875,5.617859137147368,4.974819056964167
Russia,captured,11001,0.7456906748674713,0.05635625000000001,0.00865,10.91228425217243,9.045915751603031
Russia,captured,11002,0.732510791001666,0.02511875,0.004525,21.097455435722676,4.473610899626845
Russia,captured,11003,0.6938931352835798,0.07205624999999999,0.010862499999999999,41.84314760504257,10.867071660830803
Russia,captured,11004,0.7695832508316252,0.026600000000000002,0.0034312500000000003,35.057836428807676,6.178467388232202
Russia,captured,11005,0.818264167994991,0.019000000000000003,0.0026374999999999997,24.607860910807,15.816957528640994
Russia,captured,11006,0.7989275055457264,0.014062500000000002,0.002325,33.43134589330784,8.026861292196523
Russia,captured,11007,0.7247770876719316,0.031043750000000002,0.00480625,31.29196005872773,17.60484088754412
Russia,captured,11008,0.7786372352003922,0.025306250000000006,0.0032312499999999997,40.68908371477497,4.222873130240214
Russia,captured,11009,0.7662999204500082,0.01568125,0.0024937500000000003,12.94206056788937,6.9139192888871746
