multiplier,mean_slope,ci95_lo,ci95_hi
1,0.0011475411222103067,0.0010460718431179099,0.0012490104013027036
3,0.0011538997697254,0.001021486094235149,0.001286313445215651
10,0.0012847053452768827,0.0011507940602400602,0.0014186166303137052
30,0.0010690062162240599,0.0009701918136260386,0.0011678206188220812
