country,regime,seed,mean_gini,mean_unemployment,mean_protest_share,mean_redistribution,std_redistribution
South Africa,representative,1000,0.7750570346010798,0.0383125,0.011525,38.98667844485176,10.403859581012604
South Africa,representative,1001,0.7411757594401113,0.07401875000000001,0.02394375,39.103292979411115,10.020933950474737
South Africa,representative,1002,0.8509715483784214,0.021237500000000003,0.0066125,24.26482093501974,3.154482610071248
South Africa,representative,1003,0.8021242702058606,0.02850625,0.00875,42.82648657211532,11.44796559389626
South Africa,representative,1004,0.740211369409347,0.01851875,0.006025,37.89115949247382,11.583010248471364
South Africa,representative,1005,0.7382604652183553,0.038962500000000004,0.012043750000000002,54.44738473116083,13.12347100760804
South Africa,representative,1006,0.8433658050440194,0.016,0.004393749999999999,31.522866826386053,11.482245006727934
South Africa,representative,1007,0.7050673291862484,0.033843750000000006,0.008712500000000001,27.75107210399542,8.479456063849033
South Africa,representative,1008,0.7086447229587205,0.02796875,0.00618125,31.632811392989744,9.444141500048019
South Africa,representative,1009,0.7130709904187092,0.023062500000000003,0.0048125,26.279381831110005,10.501465084459944
South Africa,representative,1010,0.8308913373080031,0.040275,0.013068750000000002,38.108133346199324,10.939539068682475
South Africa,representative,1011,0.7380538887436034,0.0073875,0.00218125,27.934914129096327,7.990213227549249
South Africa,representative,1012,0.7631373967769125,0.025931250000000003,0.006125,36.17930865252581,11.58471243816833
South Africa,representative,1013,0.8641433606115804,0.0392,0.016018750000000002,40.06701389476243,10.5289640492633
South Africa,representative,1014,0.7771109637523631,0.020250000000000004,0.0068625000000000005,41.24478554209688,11.601803455419258
South Africa,representative,1015,0.7213795466744095,0.02695,0.00721875,35.86606106168615,10.114616919022106
South Africa,representative,1016,0.7747542273033264,0.0203625,0.007925,40.00559856298547,10.686350411761554
South Africa,representative,1017,0.7581218227991985,0.03924375,0.01343125,44.33352478306632,12.078596878153329
South Africa,representative,1018,0.7405202123979087,0.02029375,0.00665625,35.96618876734456,13.301969967507445
South Africa,representative,1019,0.7744714230587125,0.019200000000000005,0.00566875,26.446462458567353,6.195099632935564
South Africa,representative,1020,0.8515141146877528,0.02359375,0.0076,36.733596128588005,7.517309101360242
South Africa,representative,1021,0.8557995074840455,0.024887500000000003,0.00795,32.30449748143452,12.048471283671068
South Africa,representative,1022,0.8286948916244371,0.0190125,0.005912499999999999,45.05733040871911,9.288135291259787
South Africa,representative,1023,0.7647856980057149,0.0339,0.01159375,34.94813323578482,11.323521426363202
South Africa,representative,1024,0.7737492690690633,0.015393750000000001,0.00473125,33.16911790062011,7.353684756345554
South Africa,captured,11000,0.8575282366326954,0.034525,0.004325,35.83188625114115,10.517698119759068
South Africa,captured,11001,0.9207780743540996,0.06613125,0.007606250000000001,23.04096682147097,6.9196298168494526
South Africa,captured,11002,0.7199938587853929,0.0192375,0.00205,34.669677232503936,9.734599413667219
South Africa,captured,11003,0.7988545968575878,0.10576250000000002,0.014306250000000003,28.796688930682503,5.9173725233980985
South Africa,captured,11004,0.7782679387179094,0.02373125,0.0031875000000000002,33.97569249440537,12.020445484403664
South Africa,captured,11005,0.7301217190047538,0.017225,0.00225625,29.011924319148164,9.506263587304332
South Africa,captured,11006,0.8313561905098075,0.017725,0.00234375,30.703174180771697,11.483417730883389
South Africa,captured,11007,0.7760984471971782,0.028431250000000005,0.00359375,43.14441738727133,12.806639168405733
South Africa,captured,11008,0.7667304176352389,0.031956250000000005,0.00476875,32.83415506539157,10.608827064926007
South Africa,captured,11009,0.8609199474354519,0.0128125,0.0016875000000000002,35.724761571453264,12.476696318619224
South Africa,captured,11010,0.7868271211772947,0.02875,0.005837500000000001,36.51557140546126,7.506637048717895
South Africa,captured,11011,0.8115613664420235,0.021375,0.0035125,29.766141832333204,6.669081888022197
South Africa,captured,11012,0.7476941828374506,0.030031250000000002,0.0039125,28.89159008278027,7.821262613013321
South Africa,captured,11013,0.9154104693140005,0.012600000000000002,0.0021125,25.351198753794588,5.132405345338509
South Africa,captured,11014,0.8353391347605494,0.02833125,0.00381875,27.11346342498197,8.32732982278177
South Africa,captured,11015,0.8436543890043237,0.028274999999999998,0.0040375,28.877637141236033,8.153314823705527
South Africa,captured,11016,0.8149367001438736,0.0199,0.0023875,29.86009841565528,7.878998583734627
South Africa,captured,11017,0.7812737770064112,0.046456250000000004,0.0060999999999999995,26.87610406501428,7.971188063177061
South Africa,captured,11018,0.7845421936450869,0.02165625,0.0028437500000000004,35.39892453000921,10.475160249682528
South Africa,captured,11019,0.7386577426280985,0.02213125,0.00296875,30.804233220797073,11.10659680376891
South Africa,captured,11020,0.8238756328567731,0.026281250000000003,0.0032375,30.039626938864576,9.932799870005937
South Africa,captured,11021,0.6337526184943058,0.027356250000000002,0.0025312500000000005,27.23399092855628,9.905487733303945
South Africa,captured,11022,0.8138005197848942,0.04193125,0.00589375,39.32137305923481,10.697223027069716
South Africa,captured,11023,0.831720676154788,0.01640625,0.00173125,27.618711237483517,8.668866788994448
South Africa,captured,11024,0.8039444807612957,0.029600000000000008,0.0035000000000000005,29.135139207211147,7.358134356181238
South Africa,dictatorship,21000,0.8009862322832901,0.033612500000000003,6.875e-05,32.30007333772111,12.299515293722505
South Africa,dictatorship,21001,0.7906033420264132,0.01439375,1.875e-05,38.537529707630966,8.118765261900135
South Africa,dictatorship,21002,0.8509608910504295,0.0257125,3.75e-05,36.97306607747424,9.158995511169525
South Africa,dictatorship,21003,0.7602625661884599,0.026387499999999998,0.00015625000000000003,34.673877274117544,8.352291504413197
South Africa,dictatorship,21004,0.7797167224731542,0.024337499999999998,0.00018125,28.20650482123173,9.84809875211709
South Africa,dictatorship,21005,0.6811654904074477,0.01806875,0.00010625,40.03930750865022,12.75153607648067
South Africa,dictatorship,21006,0.7685912106560278,0.042699999999999995,0.00018125,27.489536187324617,8.493369106961996
South Africa,dictatorship,21007,0.8493113320576197,0.0214375,5e-05,15.954075983907872,6.747223135473081
South Africa,dictatorship,21008,0.8272954557308213,0.048287500000000004,0.00015625,39.73539999796623,11.58637759300814
South Africa,dictatorship,21009,0.7452557719157906,0.01756875,3.75e-05,33.820776436039495,11.802152222674575
South Africa,dictatorship,21010,0.8760387993031219,0.022875,3.125e-05,38.78029661239714,8.236919679146963
South Africa,dictatorship,21011,0.666767854082208,0.023443750000000003,1.25e-05,36.00317740122581,12.066972926850681
South Africa,dictatorship,21012,0.785956884113105,0.026362500000000004,0.0001125,34.766085078595324,10.950935226142567
South Africa,dictatorship,21013,0.8123862398420476,0.03236875,8.750000000000001e-05,32.91492743467668,7.886900033209712
South Africa,dictatorship,21014,0.8171343067325418,0.0160625,5e-05,39.225273289725294,9.890488315252618
South Africa,dictatorship,21015,0.8231311058140623,0.024181249999999998,8.125e-05,32.89517392446308,9.884716558869377
South Africa,dictatorship,21016,0.812597573701459,0.0227375,5.625e-05,39.064758542626976,7.212869478372959
South Africa,dictatorship,21017,0.8090141190538556,0.01909375,3.7500000000000003e-05,27.663900891850908,7.5485485170043845
South Africa,dictatorship,21018,0.7195527243806166,0.019131250000000002,1.875e-05,26.978902832777766,6.727818996626013
South Africa,dictatorship,21019,0.7900559624304389,0.019412500000000003,0.00010625,40.50570805361256,6.775222216182905
South Africa,dictatorship,21020,0.7555876577930658,0.0356,7.500000000000001e-05,32.147558597696104,7.57823512852949
South Africa,dictatorship,21021,0.8242804103822892,0.01908125,3.75e-05,33.42082401195928,11.556798129746056
South Africa,dictatorship,21022,0.7765161460235251,0.02484375,5e-05,30.669006130696516,10.725394673529614
South Africa,dictatorship,21023,0.8226401717746837,0.01889375,0.00010625000000000001,29.162840421941336,8.65442731823369
