country,regime,seed,mean_gini,mean_unemployment,mean_protest_share,mean_redistribution,std_redistribution
Chile,representative,1000,0.9023752603304623,0.060700000000000004,0.054150000000000004,1792.2040221858792,517.7155298767227
Chile,representative,1001,0.8589924935939751,0.0505375,0.0548875,1706.9231218545249,503.3919930675284
Chile,representative,1002,0.7719214401785957,0.06211875,0.07539375,1668.278540204196,513.2574060133921
Chile,representative,1003,0.7865808714691568,0.037075000000000004,0.02613125,1784.9964444884088,519.6890168093225
Chile,representative,1004,0.7359235753783409,0.018862500000000004,0.00924375,1687.1866300990546,499.51380744109633
Chile,representative,1005,0.8032472192188602,0.03605,0.01800625,1759.7785114174033,544.5247397010894
Chile,representative,1006,0.6352122330648844,0.015675000000000005,0.008212500000000001,1678.559050233975,487.74358593087106
Chile,representative,1007,0.825434641539346,0.04146875,0.032150000000000005,1707.188808952326,503.73771359197747
Chile,representative,1008,0.7339962561967016,0.0600375,0.0549625,1789.3056322847578,535.4403525553811
Chile,representative,1009,0.7483626931187459,0.03675,0.043675,1695.9712408456332,515.1378684076439
Chile,representative,1010,0.6022585466914212,0.044625000000000005,0.028762500000000003,1759.9067247768032,496.7975120290504
Chile,representative,1011,0.650840721146112,0.0060062499999999994,0.0067375,1660.557985288569,473.01446304445074
Chile,representative,1012,0.7283386062657934,0.04248749999999999,0.0387375,1658.2283239011472,488.00624595125095
Chile,representative,1013,0.8352942000581723,0.0416375,0.03118125,1719.0402036282155,534.1906857821847
Chile,representative,1014,0.8229347624668475,0.022043749999999997,0.011912500000000001,1750.461079507501,518.4827950750312
Chile,representative,1015,0.7694159552784621,0.033218750000000005,0.03635625,1711.3796524901866,519.7367799930815
Chile,representative,1016,0.9008351460342147,0.03595625,0.0231125,1749.8635635865364,518.6650010837982
Chile,representative,1017,0.7759938759356214,0.042268749999999994,0.023350000000000003,1705.556776793715,513.8702055208917
Chile,representative,1018,0.8055194701853629,0.025093749999999998,0.012512500000000003,1727.8847510041796,520.0832889575206
Chile,representative,1019,0.668223261925649,0.021950000000000004,0.00944375,1694.043935517212,513.630826052198
Chile,representative,1020,0.814147330038319,0.025,0.0152,1762.4611845184309,523.1455979493039
Chile,representative,1021,0.8192423003950329,0.02520625,0.01395,1748.002249403713,498.2338904316476
Chile,representative,1022,0.6804096467460035,0.0172875,0.00839375,1738.9890575705942,502.7471540837307
Chile,representative,1023,0.7505936499409603,0.08336249999999999,0.08016874999999998,1693.5886517849035,494.3367537331937
Chile,representative,1024,0.7567234912906082,0.016931250000000002,0.0088125,1724.215543480477,511.1968252283516
Chile,captured,11000,0.857129529331267,0.033,0.00630625,1738.9450464181114,523.2202946128883
Chile,captured,11001,0.8348075311416135,0.07676875,0.0318125,1789.1695166732522,537.3645370308965
Chile,captured,11002,0.7604919673898911,0.024168750000000003,0.006893750000000001,1734.518944683015,507.46890888067395
Chile,captured,11003,0.7533468793002532,0.069025,0.0204375,1766.8377342421009,520.3602186632212
Chile,captured,11004,0.7842941271384121,0.031393750000000005,0.0062,1708.0139812479322,481.7544223865247
Chile,captured,11005,0.80704276861259,0.01900625,0.00285,1654.616213001264,502.19337080400544
Chile,captured,11006,0.752000849374791,0.02320625,0.00469375,1706.5365436702225,504.42144256436137
Chile,captured,11007,0.8832305539855807,0.03530625,0.00850625,1774.985135370468,532.7904376535562
Chile,captured,11008,0.7654306872185123,0.020925000000000003,0.0039000000000000007,1746.7966920672334,507.41265307498213
Chile,captured,11009,0.806784994536018,0.016825,0.0028250000000000003,1673.1635503997938,476.7550022258568
Chile,captured,11010,0.7930114806131411,0.0359625,0.009012500000000001,1673.8615753503975,502.17060165604204
Chile,captured,11011,0.7375182371027108,0.027212500000000004,0.0060750000000000005,1712.8223803266715,473.47768275897374
Chile,captured,11012,0.8002209331442494,0.0253375,0.00855,1749.9377906588686,520.2534113374759
Chile,captured,11013,0.7533652490863099,0.01453125,0.00369375,1651.5590222787862,483.8569330439265
Chile,captured,11014,0.750027583909162,0.022637499999999998,0.0038625000000000005,1705.8314091950494,475.8316037057975
Chile,captured,11015,0.7632366881133413,0.022818750000000002,0.00400625,1693.167932933246,485.2103545766242
Chile,captured,11016,0.8273574321427699,0.017337500000000002,0.00244375,1746.9421441396253,532.6595255656025
Chile,captured,11017,0.8432369681406615,0.03726875,0.00760625,1777.5060444343324,508.1693760036105
Chile,captured,11018,0.7239584794863266,0.021075,0.00275625,1648.3265727395833,496.0936587498654
Chile,captured,11019,0.7321380035026036,0.0185125,0.0033625000000000005,1736.5203361710278,501.51395273203565
Chile,captured,11020,0.6809249155568787,0.02464375,0.0033875,1711.7456452568824,498.90137573236484
Chile,captured,11021,0.7309242057198045,0.02496875,0.0109875,1739.2165658059894,495.7137458225997
Chile,captured,11022,0.7500226882515371,0.03643125,0.00551875,1727.291035517913,505.185075412994
Chile,captured,11023,0.7157241738912242,0.015187500000000003,0.0017749999999999999,1717.5752481346674,511.7018782100879
Chile,captured,11024,0.7213654523421773,0.02965,0.007937500000000002,1691.7947718012701,502.9853848324256
Chile,dictatorship,21000,0.7453263035983544,0.03664375,8.750000000000001e-05,1665.309224463253,468.44805682730373
Chile,dictatorship,21001,0.8479909006348124,0.014981250000000002,3.75e-05,1741.383984188883,515.8215093662207
Chile,dictatorship,21002,0.7948068955791274,0.020225,1.25e-05,1722.8291758109908,498.2843580278903
Chile,dictatorship,21003,0.8009552169910183,0.035612500000000005,0.0002,1702.8709764926423,519.3936029151904
Chile,dictatorship,21004,0.8423584440738829,0.0270875,0.000125,1746.3629394732718,507.2191441348479
Chile,dictatorship,21005,0.8041606097029139,0.0216125,0.0001375,1654.1698239016123,466.963513403496
Chile,dictatorship,21006,0.7874883411258631,0.03405625,3.75e-05,1707.1081894145348,490.6282106705695
Chile,dictatorship,21007,0.6546485306035749,0.02609375,4.3750000000000006e-05,1748.9164137570572,490.71431092612005
Chile,dictatorship,21008,0.8259644814642985,0.048543750000000004,0.00031875,1706.9885674746395,506.3736196543428
Chile,dictatorship,21009,0.8084347819381884,0.020706249999999995,5e-05,1733.3495929843734,518.8707196536158
Chile,dictatorship,21010,0.7891728363231704,0.017462500000000002,6.25e-05,1707.7669885865575,483.85543373582124
Chile,dictatorship,21011,0.8058158652390262,0.03223125,3.75e-05,1666.5036488646263,508.65166532542725
Chile,dictatorship,21012,0.7028655340221267,0.023450000000000002,9.375e-05,1664.787784781326,494.98176953657446
Chile,dictatorship,21013,0.6995435101337129,0.0381875,0.00011875,1719.015985504797,503.5864125738091
Chile,dictatorship,21014,0.7807601575396731,0.0163375,5e-05,1749.9871259868999,500.1763814811109
Chile,dictatorship,21015,0.7754920324634749,0.03501875,6.875e-05,1719.8136689522214,519.6131152883394
Chile,dictatorship,21016,0.8082099077915056,0.023,5e-05,1795.0966965750056,534.6430383566932
Chile,dictatorship,21017,0.7397401176156589,0.01485,1.875e-05,1645.5186410839162,482.40890582967853
Chile,dictatorship,21018,0.7882824107040401,0.020837500000000002,2.5e-05,1724.2396681592793,522.8832153641478
Chile,dictatorship,21019,0.6400103138308476,0.025225,3.125e-05,1736.5941362876986,501.42302595265267
Chile,dictatorship,21020,0.8413478363011684,0.043175000000000005,0.00015625,1776.5121897231359,522.0980192627925
Chile,dictatorship,21021,0.9064415358517189,0.022281250000000002,2.5e-05,1749.5903920793512,516.1845581663254
Chile,dictatorship,21022,0.8194696672430167,0.026231249999999998,5e-05,1665.8111930938287,485.08095178019937
Chile,dictatorship,21023,0.7805219671557875,0.01901875,4.3750000000000006e-05,1732.8340741610298,504.14891069484554
Chile,dictatorship,21024,0.8186393423676609,0.026150000000000003,7.5e-05,1698.447890063959,497.9673213017507
