wage_noise_std,threshold_std_base,mean_gap,std_gap
0.005,0.06,1.9426328231967696e-06,0.004302634700277429
0.005,0.08,-0.00012526166583626264,0.004071610278376502
0.005,0.12,-0.004797875359795256,0.005038997530770945
0.01,0.06,-0.004980213178660857,0.004538379345744438
0.01,0.08,-0.006476090632239344,0.005440325118991136
0.01,0.12,-0.006500496988950981,0.006124909512072118
0.02,0.06,-0.0011408990256995821,0.005500963483057449
0.02,0.08,-0.0016109677823526642,0.0037154953596369405
0.02,0.12,-0.0020953030210163113,0.006421121289961408
