regime,mean_gini_mean,mean_gini_ci95_lo,mean_gini_ci95_hi,mean_unemployment_mean,mean_unemployment_ci95_lo,mean_unemployment_ci95_hi,mean_protest_share_mean,mean_protest_share_ci95_lo,mean_protest_share_ci95_hi,mean_redistribution_mean,mean_redistribution_ci95_lo,mean_redistribution_ci95_hi,std_redistribution_mean,std_redistribution_ci95_lo,std_redistribution_ci95_hi
captured,0.4712219000578154,0.45936113597368194,0.48308266414194884,0.037512,0.02571457839328032,0.049309421606719674,2.8e-05,1.6113641806208636e-05,3.9886358193791364e-05,116.2149231959032,112.37648551175742,120.05336088004897,42.600890227332066,41.60314974963225,43.59863070503188
dictatorship,0.4663439062592499,0.4578310040893714,0.47485680842912836,0.028999999999999995,0.024565505514634076,0.03343449448536591,0.0,0.0,0.0,116.9284941833435,113.84312753250299,120.01386083418402,42.282607348278546,41.328199682835795,43.2370150137213
representative,0.47014716956153413,0.45901074936948105,0.4812835897535872,0.034564,0.02634429316782324,0.042783706832176756,0.00035666666666666664,0.00026860793205878836,0.00044472540127454493,114.29775754194931,110.92571781765173,117.66979726624689,41.300502460194956,39.777817417053235,42.823187503336676
