country,representative_minus_dictatorship
Korea,94.93161295054878
Egypt,19.69256837151275
Chile,7.71050855813769
Russia,3.155977460961452
South Africa,2.477137284675443
United Kingdom,1.5243491522196422
Germany,1.2460679377381823
United States,-1.6149533755344123
