regime,seed,mean_wage_var_share,mean_transfer_var_share,mean_owner_var_share,mean_repression_bound_share
representative,9900,0.9013946730316297,0.00041725152006365896,0.10231141370250812,0.8905833333333333
representative,9901,0.6875599298989601,0.0001549892094974604,0.31948604870365593,0.8470312500000002
representative,9902,0.7842375792551011,0.0001859302350320083,0.21853613979908712,0.8514374999999997
representative,9903,0.5792041073918125,0.0001264557574056962,0.4248192641291756,0.8829270833333333
representative,9904,0.8059133937941676,0.0001878303814586743,0.19879145567257647,0.8642500000000001
representative,9905,0.8471936930446653,0.0003309063968216224,0.16021110016182794,0.8839791666666668
representative,9906,0.7622128948199531,0.00048708240269099384,0.2463167458938407,0.8317499999999998
representative,9907,0.43997433368421035,5.5935085963795075e-05,0.5470043646030417,0.8962916666666669
representative,9908,0.774708818017868,6.643700931502855e-05,0.22705386193588897,0.8828125
representative,9909,0.4595595430606891,6.062210140011254e-05,0.5427559790345023,0.8711458333333334
captured,19900,0.5943691331102836,0.00010651139130519594,0.41250050358965346,0.9999583333333334
captured,19901,0.5991791312710714,0.0001338939855546522,0.4018824452245505,1.0
captured,19902,0.8507999375956097,0.00019001708377846705,0.15501516723132042,1.0
captured,19903,0.932726544015283,0.0002546511951215301,0.072467836383356,0.9999895833333333
captured,19904,0.5460968438931189,9.796969671354727e-05,0.4539858292489504,1.0
captured,19905,0.4033525130657586,3.871186492073605e-05,0.5980320592101582,1.0
captured,19906,0.8861676269608864,0.000305672260584678,0.12286925956558517,1.0
captured,19907,0.612747203872266,7.733091095143543e-05,0.39203297777629903,0.9999895833333333
captured,19908,0.5557442536171067,7.84334837289293e-05,0.44555244071790956,1.0
captured,19909,0.763867339088775,9.140210575718914e-05,0.24105952918451823,1.0
dictatorship,29900,0.8555576686711092,0.0002819416443858633,0.15082926850101053,1.0
dictatorship,29901,0.8825297736123511,0.00029727603096387346,0.12486457422655332,1.0
dictatorship,29902,0.7401298541008821,0.00014648724140557952,0.26402815840097293,1.0
dictatorship,29903,0.7056793749679497,0.0001928072407690703,0.30164326496649657,1.0
dictatorship,29904,0.7697427968073314,0.00012207106158310802,0.23661253861879322,1.0
dictatorship,29905,0.804399920489282,8.923322052857385e-05,0.20313250821041,1.0
dictatorship,29906,0.827055661691628,0.0004027993012356791,0.18013121833130435,1.0
dictatorship,29907,0.823479649589814,0.00022041212183559745,0.18518729249296978,1.0
dictatorship,29908,0.4776594075475468,4.54072868722572e-05,0.5192904025222713,1.0
dictatorship,29909,0.8972439218221191,0.00033801437687446743,0.10878803923432215,1.0
