regime,seed,mean_gini,mean_unemployment,mean_protest_share,mean_redistribution,std_redistribution
representative,1000,0.4251816266205561,0.03183333333333333,0.00038333333333333334,100.69692889088675,38.20788071962279
representative,1001,0.5047204138174085,0.019233333333333335,0.00021666666666666668,115.55914634173135,42.94652108574008
representative,1002,0.5300669222877968,0.0635,0.0007666666666666667,106.75219449700853,48.06363823088251
representative,1003,0.44165858369160493,0.01,9.999999999999999e-05,109.91492199458885,40.11846956151784
representative,1004,0.4429973854551177,0.018283333333333332,0.0001,109.55781671875123,42.07581327896837
representative,1005,0.4795936171888847,0.04898333333333334,0.00045000000000000004,111.78645671731452,37.25812668395221
representative,1006,0.4734724563999814,0.03866666666666667,0.00035000000000000005,129.84369904664553,48.93491093357062
representative,1007,0.4432204881217342,0.0329,0.0003333333333333334,116.50633850976136,43.599032460651195
representative,1008,0.48542772819790514,0.02581666666666667,0.00035000000000000005,98.09718202175328,33.750462969100376
representative,1009,0.4804287274065708,0.046650000000000004,0.00055,110.2778310667978,37.79850769207999
representative,1010,0.473645485336778,0.0322,0.00015,122.39202892127427,42.25068944675448
representative,1011,0.44387372622008364,0.029766666666666667,0.0003,116.13647083257648,39.57634154206486
representative,1012,0.4471625803807424,0.03535,0.00025000000000000006,118.52496980776773,42.72580762967701
representative,1013,0.47847829651951657,0.030833333333333338,0.00043333333333333337,103.48391919813844,38.11710284973995
representative,1014,0.47487138599712847,0.031183333333333334,0.00023333333333333336,127.66964097846964,45.89930831804569
representative,1015,0.494105729772948,0.014500000000000004,6.666666666666667e-05,117.65318542442687,46.95760334083714
representative,1016,0.5089203207343324,0.11779999999999999,0.0011500000000000002,101.80298135878981,36.05883359367739
representative,1017,0.48986907057816004,0.03155,0.0003,119.02530302257122,41.74763926549898
representative,1018,0.449564051924721,0.021,0.0003333333333333334,127.53624862561385,38.63196024674502
representative,1019,0.4658905531678474,0.034066666666666676,0.0002666666666666667,117.85779050511523,44.29218741550682
representative,1020,0.5023419188534344,0.03323333333333333,0.0004,116.95777560043105,41.598576781635614
representative,1021,0.4029336091511296,0.01721666666666667,0.0002,118.88362396256848,43.48347156379119
representative,1022,0.46697707457311244,0.04328333333333333,0.0004666666666666667,102.89707957896215,35.38048487869893
representative,1023,0.4774894663214051,0.03566666666666667,0.0003666666666666667,119.12383113196174,41.48580916448783
representative,1024,0.47078802031945294,0.020583333333333332,0.0004,118.50657379482605,41.55338185162709
captured,11000,0.4688107309077829,0.024566666666666667,0.0,116.69232059455321,42.16999228127077
captured,11001,0.48960938233376256,0.13506666666666667,0.00011666666666666668,87.78161037468904,42.94932832844861
captured,11002,0.44253506895323075,0.03846666666666666,3.3333333333333335e-05,115.23055154827125,42.52735618732974
captured,11003,0.47718450210680735,0.04845,1.6666666666666667e-05,116.34174915536113,40.7025041730926
captured,11004,0.4582388347032176,0.030750000000000003,3.3333333333333335e-05,131.5180802086302,44.24825498712287
captured,11005,0.4509185165207248,0.0211,1.6666666666666667e-05,113.78497841380774,41.9082977153502
captured,11006,0.48512792746044076,0.040183333333333335,3.3333333333333335e-05,120.4837013730537,46.33055067694432
captured,11007,0.4734661665602029,0.03950000000000001,0.0,119.31686272784759,38.872529749169594
captured,11008,0.5147388739616996,0.018683333333333333,1.6666666666666667e-05,117.297739959787,44.27665116372183
captured,11009,0.5119425612854707,0.02125,3.3333333333333335e-05,121.95578541034129,40.67768538950472
captured,11010,0.453827401414514,0.025416666666666667,0.0,117.45893546563437,43.88426983251611
captured,11011,0.4417433503417598,0.03618333333333334,0.0,109.4966877669337,44.733384220939385
captured,11012,0.4454778949114505,0.06349999999999999,6.666666666666667e-05,109.75015066255082,43.1644685177245
captured,11013,0.4207245255124247,0.018233333333333334,0.0,112.20461189983446,40.70271719940795
captured,11014,0.43855833187837767,0.014933333333333335,1.6666666666666667e-05,123.10595466199047,44.406707020858235
