,gdp_billions,unemployment_rate_pct,lfpr_pct,avg_hourly_earnings_nominal,avg_hourly_earnings_real,job_openings_thousands,total_nonfarm_employment,civilian_labor_force_thousands,wage_p10,wage_p50,wage_p90,fed_tax_revenue_pct_gdp,wage_growth_yoy,labor_market_tightness,gini_coefficient,avg_federal_tax_rate_pct,redist_eitc,redist_snap,redist_medicaid,redist_ui,workers_affected,days_idle,civil_unrest_events,protest_intensity_score
1968-06-30,6.9,3.5666666666666664,59.800000000000004,,2.8666666666666667,,67704.33333333333,78745.66666666667,,,,286.708,,,,,,,,2.754,1855.0,35367.0,85.0,0.5000117784259028
1968-09-30,3.1,3.533333333333333,59.63333333333333,,2.9,,68313.33333333333,78879.66666666667,,,,292.215,,,,,,,,2.754,1855.0,35367.0,85.0,0.500011758416829
1968-12-31,1.6,3.4,59.6,,2.956666666666667,,68984.33333333333,79195.0,,,,298.982,,,,,,,,2.754,1855.0,35367.0,85.0,0.5000117115979544
1969-03-31,6.4,3.4,59.833333333333336,,3.0,,69681.0,79873.66666666667,,,,300.566,,,,,,,,2.869,1576.0,29397.0,34.0,0.5000098655793941
1969-06-30,1.2,3.4333333333333336,59.96666666666667,,3.0399999999999996,,70345.33333333333,80367.33333333333,,,,307.101,,,,,,,,2.869,1576.0,29397.0,34.0,0.5000098049788056
1969-09-30,2.7,3.5666666666666664,60.23333333333333,,3.1,,70883.66666666667,81074.33333333333,,,,313.917,,,,,,,,2.869,1576.0,29397.0,34.0,0.5000097194755431
1969-12-31,-1.9,3.5666666666666664,60.26666666666667,,3.14,,71149.33333333333,81505.0,,,,318.243,,,,,,,,2.869,1576.0,29397.0,34.0,0.5000096681185203
1970-03-31,-0.6,4.166666666666667,60.46666666666667,,3.1733333333333333,,71310.66666666667,82210.0,,,,325.878,,,0.38825728809446775,,33.004839999999994,11.3270795,392.28125,4.765,2468.0,52761.0,25.0,0.5000150103393748
1970-06-30,0.6,4.766666666666667,60.36666666666667,,3.216666666666667,,71167.0,82564.66666666667,,,,339.049,,,0.38825728809446775,,33.004839999999994,11.3270795,392.28125,4.765,2468.0,52761.0,25.0,0.5000149458606183
1970-09-30,3.7,5.166666666666667,60.300000000000004,,3.266666666666667,,70978.0,82911.66666666667,,,,346.412,,,0.38825728809446775,,33.004839999999994,11.3270795,392.28125,4.765,2468.0,52761.0,25.0,0.5000148833095464
