region_name,region_code,country_name,country_code,reporting_year,reporting_level,survey_acronym,survey_coverage,survey_year,welfare_type,survey_comparability,comparable_spell,poverty_line,headcount,poverty_gap,poverty_severity,watts,mean,median,mld,gini,polarization,decile1,decile2,decile3,decile4,decile5,decile6,decile7,decile8,decile9,decile10,cpi,ppp,reporting_pop,reporting_gdp,reporting_pce,is_interpolated,distribution_type,estimation_type,spl,spr,pg,estimate_type
North America,NAC,United States,USA,1963,national,CPS-LIS,national,1963,income,0,1963 - 2001,3,0.016,0.009553310305,0.00743842624,0.021360226571,40.349326387719,33.291943449867,0.2697801173,0.367264745164,0.317258193774,0.018375798538,0.039814466444,0.052820912537,0.064231103661,0.076006715428,0.089077054139,0.104815582372,0.125809400176,0.160234945133,0.268814021573,0.113020001968,1,189242000,20445.8368750774,,FALSE,micro,survey,17.946,0.18,1.947312502579,
North America,NAC,United States,USA,1964,national,CPS-LIS,national,1964,income,0,1963 - 2001,3,0.015,0.00997639131,0.007939443859,0.022785998051,42.735324452515,34.558627427434,0.279817578164,0.373752861493,0.323690303449,0.018163289769,0.039159239399,0.052202200039,0.06348084101,0.074991916896,0.087663641811,0.103837598128,0.12547615854,0.160322920642,0.274702193767,0.114465427813,1,191889000,21333.2984355768,,FALSE,micro,survey,18.579,0.179,1.958983354492,
North America,NAC,United States,USA,1965,national,CPS-LIS,national,1965,income,0,1963 - 2001,3,0.013,0.008216804534,0.006534853295,0.018700879525,44.831806412919,36.655767521001,0.268229732829,0.36825404535,0.324631231956,0.018783338057,0.039288704,0.052372838198,0.063977457639,0.075730886858,0.089006574077,0.1049057802,0.126276375921,0.160903707721,0.268754337328,0.116279894144,1,194303000,22416.6241536604,,FALSE,micro,survey,19.628,0.18,1.746262406198,
North America,NAC,United States,USA,1966,national,CPS-LIS,national,1966,income,0,1963 - 2001,3,0.012,0.00719895999,0.005531642783,0.015873683121,45.220709224366,37.030820792514,0.270396604081,0.370973292061,0.325514811294,0.018191407553,0.038445429171,0.051860952441,0.063842435219,0.075856006641,0.088860319632,0.104944428493,0.126946525956,0.161923358963,0.269129135932,0.119785820987,1,196560000,23599.5749334506,,FALSE,micro,survey,19.815,0.186,1.6417350004040001,
North America,NAC,United States,USA,1967,national,CPS-LIS,national,1967,income,0,1963 - 2001,3,0.011,0.006538059055,0.00512531933,0.014815919914,47.151988898805,38.68249575206,0.263482762005,0.368747370356,0.325298734998,0.019394906119,0.039087778137,0.051912849498,0.063462553824,0.075373734784,0.088492911468,0.104857992394,0.127212495523,0.162117102352,0.268087675902,0.123107223748,1,198712000,23927.5975287955,,FALSE,micro,survey,20.641,0.185,1.558407048004,
North America,NAC,United States,USA,1968,national,CPS-LIS,national,1968,income,0,1963 - 2001,3,0.009,0.005992790508,0.004785723429,0.013735907012,49.137662482906,40.343398709817,0.254660432533,0.363226683799,0.321329318701,0.020100320962,0.039933209928,0.052732305119,0.064111879063,0.075870012776,0.089257562235,0.105272992633,0.126793871221,0.160560126784,0.265367719279,0.128366114011,1,200706000,24826.9926989169,,FALSE,micro,survey,21.472,0.176,1.463118607813,
North America,NAC,United States,USA,1969,national,CPS-LIS,national,1969,income,0,1963 - 2001,3,0.007,0.004451033999,0.003528809666,0.010117603352,50.441186870846,41.702327808777,0.245046244494,0.360074340258,0.316945585173,0.021079989906,0.040098223124,0.052768903034,0.064465308321,0.07635943806,0.089366683538,0.105540684881,0.126620509636,0.160100144049,0.263600115451,0.13537797537,1,202677000,25347.7065228137,,FALSE,micro,survey,22.151,0.177,1.289219492323,
North America,NAC,United States,USA,1970,national,CPS-LIS,national,1970,income,0,1963 - 2001,3,0.011,0.007265785701,0.005877253609,0.016909534515,50.717354421518,41.567516495363,0.263367992448,0.365928276595,0.323445375708,0.019460794442,0.039266120675,0.052355905275,0.064082813774,0.075915017549,0.089107877669,0.105154140544,0.126996267294,0.161473678327,0.26618738445,0.143281674981,1,205052000,25108.3873891175,15525.7844546749,FALSE,micro,survey,22.084,0.18,1.574505742215,
North America,NAC,United States,USA,1971,national,CPS-LIS,national,1971,income,0,1963 - 2001,3,0.009,0.005981995054,0.00475808757,0.013537042979,51.941346593739,42.193336844242,0.262387935459,0.36912604644,0.326054447582,0.019745768252,0.038797892673,0.051865908413,0.063705945716,0.075419671498,0.088462385715,0.104571157438,0.126386560871,0.16118892272,0.269855786704,0.14943242652,1,207661000,25609.294432327,15916.1874256601,FALSE,micro,survey,22.397,0.179,1.408767013085,
North America,NAC,United States,USA,1972,national,CPS-LIS,national,1972,income,0,1963 - 2001,3,0.008,0.005759003169,0.004750130455,0.0136677735,55.470430693246,45.852502313151,0.262346056978,0.366573002391,0.322965534119,0.019060161769,0.038467467574,0.052064385237,0.064324751093,0.076381635824,0.089814666694,0.10580212142,0.127093038262,0.161252177335,0.265739594792,0.154322268622,1,209896000,26668.1690068193,16711.1674591226,FALSE,micro,survey,24.226,0.186,1.391147401493,
North America,NAC,United States,USA,1973,national,CPS-LIS,national,1973,income,0,1963 - 2001,3,0.008,0.005672892802,0.004634678087,0.013421354816,56.568825739971,47.034005317761,0.255106610085,0.361088621314,0.315692981714,0.019434134363,0.039504170703,0.053143473833,0.06506411361,0.077013043626,0.090095343991,0.105738874754,0.127061235746,0.160248270643,0.262697338731,0.163855925832,1,211909000,27906.1356426005,17371.5692160314,FALSE,micro,survey,24.817,0.178,1.356705810108,
North America,NAC,United States,USA,1974,national,CPS-LIS,national,1974,income,0,1963 - 2001,3,0.009,0.005556252683,0.00438787423,0.012552152556,54.478611860892,45.496040745768,0.245960436159,0.354752998991,0.313142213197,0.019972627066,0.040542534856,0.054091124751,0.065585235312,0.077374970708,0.090706262478,0.106531736394,0.127327293554,0.160415533953,0.257452680929,0.181969891417,1,213854000,27502.8548958664,17069.3783235291,FALSE,micro,survey,24.048,0.173,1.318990916599,
North America,NAC,United States,USA,1975,national,CPS-LIS,national,1975,income,0,1963 - 2001,3,0.007,0.004562107418,0.003644960184,0.010501652459,54.935976222993,46.010620424298,0.245789263866,0.356505292874,0.311804965742,0.020073562284,0.039861927104,0.053570486386,0.065722803753,0.077556550128,0.090372520091,0.106182913381,0.127598645887,0.160664967052,0.258395623934,0.198607664352,1,215973000,27177.0167648036,17285.1481342575,FALSE,micro,survey,24.305,0.18,1.248998237973,
North America,NAC,United States,USA,1976,national,CPS-LIS,national,1976,income,0,1963 - 2001,3,0.007,0.004649384933,0.003834652848,0.010998428806,56.654245196745,47.370926977565,0.243311769574,0.355619268479,0.314509074421,0.020671521101,0.039985227259,0.053333821606,0.065421114964,0.07735845909,0.090679937947,0.106466014193,0.127707630586,0.160711820951,0.257664452303,0.210017290806,1,218035000,28370.4569990061,18075.9370926686,FALSE,micro,survey,24.985,0.178,1.241082095299,
North America,NAC,United States,USA,1977,national,CPS-LIS,national,1977,income,0,1963 - 2001,3,0.006,0.003803761043,0.003047344376,0.008729347348,57.401856166496,47.923325966369,0.241170820618,0.354983721031,0.309601855617,0.02070957572,0.040593405841,0.053916889601,0.06566925436,0.077318464494,0.090413916216,0.106239877768,0.126846046102,0.158791421858,0.259501148039,0.223671965362,1,220239000,29385.3192596356,18651.366356549,FALSE,micro,survey,25.262,0.173,1.140537440504,
North America,NAC,United States,USA,1978,national,CPS-LIS,national,1978,income,0,1963 - 2001,3,0.006,0.004118013174,0.00327723768,0.009344240952,57.649270087878,48.984763824689,0.234058729641,0.347813491665,0.305221489344,0.020704858557,0.041307550817,0.054612185775,0.066438747078,0.07852019052,0.091674836555,0.107219854358,0.128239205679,0.159441716561,0.251840854101,0.24074028937,1,222585000,30684.9987747049,19262.4486420918,FALSE,micro,survey,25.792,0.172,1.145935368436,
North America,NAC,United States,USA,1979,national,CPS-LIS,national,1979,income,0,1963 - 2001,3,0.007,0.004630831546,0.003769185979,0.010887619579,58.654129481112,49.423331292127,0.23108426456,0.34759404388,0.306630500822,0.022304241013,0.041255849373,0.054285140578,0.066083592743,0.078000063822,0.091178225413,0.106945119968,0.127382801374,0.158798928669,0.253766037048,0.267834324573,1,225055000,31309.0493216525,19503.8822065717,FALSE,micro,survey,26.012,0.171,1.186083968571,
North America,NAC,United States,USA,1980,national,CPS-LIS,national,1980,income,0,1963 - 2001,3,0.006,0.003568698904,0.002822435033,0.008084126743,55.861983597767,47.17321174416,0.226006285718,0.347179690404,0.308344713701,0.022730555657,0.040888278115,0.053992451307,0.065955466023,0.07806904008,0.091464140753,0.10735670897,0.127649557285,0.159083318352,0.252810483458,0.304123743304,1,227225000,30930.4214515341,19257.3114490043,FALSE,micro,survey,24.887,0.175,1.098258114536,
North America,NAC,United States,USA,1981,national,CPS-LIS,national,1981,income,0,1963 - 2001,3,0.006,0.00383895641,0.003048621013,0.008763248752,54.860384068874,45.782924755865,0.235828113104,0.354882944136,0.317698745157,0.022033354575,0.039692427326,0.052835433525,0.065001649347,0.077034945724,0.090757743274,0.1067437764,0.12770381701,0.160563789702,0.257633063118,0.335554079063,1,229466000,31405.6062642433,19333.6547288051,FALSE,micro,survey,24.191,0.181,1.156215456365,
North America,NAC,United States,USA,1982,national,CPS-LIS,national,1982,income,0,1963 - 2001,3,0.008,0.004997692409,0.003969814561,0.011303065595,55.714901140251,46.003171391025,0.256528043557,0.36661035425,0.330391352945,0.02017404538,0.03763617574,0.051296541209,0.063615062146,0.076101585607,0.08987845112,0.106637454669,0.128975914897,0.161882168371,0.263802600861,0.356128314565,1,231664000,30546.7587475276,19430.5450177844,FALSE,micro,survey,24.302,0.192,1.25985088246,
North America,NAC,United States,USA,1983,national,CPS-LIS,national,1983,income,0,1963 - 2001,3,0.007,0.004573619875,0.003673875154,0.010435945809,57.579672907676,47.454132089453,0.266227866985,0.372927335947,0.339031056521,0.019085102743,0.036132098385,0.050097432144,0.062867003675,0.075838592832,0.089910385355,0.107189682518,0.129518082938,0.163288906264,0.266072713145,0.367568715497,1,233792000,31656.1736604625,20343.6531575075,FALSE,micro,survey,25.027,0.201,1.227143730069,
North America,NAC,United States,USA,1984,national,CPS-LIS,national,1984,income,0,1963 - 2001,3,0.006,0.004022832641,0.003153980567,0.009033420735,59.88017492003,49.374942508598,0.264521343011,0.37345325937,0.338944437318,0.019331535594,0.036413805525,0.049991062077,0.062570887052,0.075433624008,0.089705641629,0.106857011441,0.129369869707,0.163538756904,0.266787806063,0.383376145417,1,235825000,33654.3079300258,21229.2802289833,FALSE,micro,survey,25.987,0.198,1.144257367224,
